Year,AIDS-related deaths,New HIV Infections,Country
numeric,numeric,numeric,numeric
151147.658357,-9054.18784691,-11.5693433032,-1.62685067151
148514.711651,-9903.15695526,-10.5220532327,-1.61395803093
145317.802029,-10898.5597626,-9.46654190289,-1.60059707103
142282.760613,-11767.7734923,-8.41795189336,-1.5875831859
139821.91501,-12344.3711445,-7.38551173242,-1.57540878295
138456.75013,-12428.8095206,-6.3802999341,-1.5646689762
138080.225035,-12041.8548804,-5.40113697528,-1.55529263421
138337.503828,-11301.729417,-4.44143611529,-1.54691917677
139058.078107,-10281.5623641,-3.49714764942,-1.53933409664
139840.376661,-9148.3284554,-2.55901878145,-1.53204547733
140441.235865,-8025.37861873,-1.62024105741,-1.52469924491
140663.754582,-7047.7163436,-0.673397740403,-1.51691994535
140856.495018,-6304.30447685,0.286157512299,-1.50854354236
140959.375424,-5715.29201091,1.25412686391,-1.49976133352
140975.009907,-5211.08608386,2.22673689849,-1.49074962437
141116.734833,-5097.07267328,3.22043275303,-1.48077394107
141590.217785,-5708.74074308,4.25329508261,-1.46902240769
142180.47852,-6612.32480949,5.30192110414,-1.45655360567
142522.643152,-7053.31042902,6.32559821587,-1.44521046885
142848.473389,-7347.69049793,7.34133718973,-1.43423493319
142049.089689,-7436.20993788,8.34648507053,-1.42358343633
143111.158671,-7414.24445069,9.34470634138,-1.41353558931
143918.909881,-7665.29814097,10.3578540623,-1.40275353668
144758.457104,-7898.07579315,11.3699951551,-1.39202320703
145589.5875,-7905.44236118,12.3699226727,-1.38186098744
104238.432631,-24693.2807213,-10.7083162331,-0.579209339503
50208.5351274,-42466.1526828,-8.71780930254,-0.514593671394
-35806.2690009,-70313.6643354,-6.16511440651,-0.418945691689
-149616.598743,-106091.292483,-3.16858100672,-0.298414519057
-272682.600689,-142507.271679,-0.132783140302,-0.174656968106
-376527.498208,-168791.048484,2.34413894133,-0.0798523045594
-442658.546891,-177652.177298,3.85770648014,-0.0356457963495
-470247.035714,-168108.53642,4.3542685222,-0.0446635593163
-463227.583381,-141164.819161,3.8902646537,-0.103681047817
-439048.249416,-103006.845173,2.80977381901,-0.194026304797
-404985.99259,-56803.7217442,1.28823633403,-0.306423054041
-375996.998531,-9132.74583772,-0.310305615502,-0.421644500824
-365317.427515,33708.6083674,-1.63784369726,-0.521470737142
-358003.977222,74875.2132588,-2.87291005421,-0.616478400745
-351335.809233,109759.734767,-3.76714736867,-0.695499779515
-339632.662123,122787.316763,-3.47922392496,-0.720169874764
-333058.211297,133320.490128,-3.0535130366,-0.73764301433
-325115.276304,130270.339912,-1.8922433467,-0.721031842841
-320103.65378,126471.014679,-0.688889377971,-0.702016666638
-324747.532792,139869.150282,-0.412812868036,-0.724773618249
-328350.043979,155676.049476,-0.267821861528,-0.753798646632
-309103.334562,134138.525061,1.88981102481,-0.692443258379
-260666.957915,68728.470613,6.41072946508,-0.525317200329
-215551.911319,20042.7220665,10.0268245142,-0.39987180247
-197654.984225,5540.02078548,11.8038334704,-0.356056987753
150468.960809,-9248.32860876,-11.5790553497,0.373652339737
146854.046605,-10412.1005659,-10.5142073615,0.387511604098
140831.895221,-12333.8844983,-9.40706021395,0.403705850455
132416.649103,-14962.3385007,-8.26040388724,0.42210288096
123594.402906,-17550.3581548,-7.11573409391,0.44046868517
118456.811728,-18634.7334416,-6.05442225324,0.454392746938
119505.529375,-17319.4614412,-5.12629454247,0.461174945664
124587.413409,-14342.2105341,-4.29028252241,0.46305456678
130066.634906,-10981.7117437,-3.47524368398,0.46389652228
132613.871977,-8445.65780766,-2.61404042392,0.467332794285
133540.481441,-6362.57424845,-1.72746838999,0.472196142703
133359.283948,-4677.50670003,-0.818764671395,0.478258316303
132631.777781,-3332.58740243,0.108651199125,0.48527521712
131776.292057,-2361.20422443,1.05637810984,0.493258291358
131021.823044,-1688.18596388,2.020226202,0.501977676941
130447.973302,-1382.47776137,3.00389235111,0.511593711415
130680.684214,-2421.06599329,4.0600161038,0.524465972039
131301.246728,-3237.12976372,5.10388304683,0.536708342535
132902.012355,-4558.09239019,6.17462274296,0.550055649924
134097.294009,-5188.10802431,7.20811580949,0.561727726906
135377.508116,-6242.47784768,8.26456708112,0.574457273338
136162.378219,-6760.3000795,9.29218582207,0.585917395205
135987.659123,-6178.53440582,10.2606878611,0.594766304261
135837.740567,-5854.62321235,11.2431537281,0.604262446708
135742.351008,-5547.99173167,12.2265287171,0.61379274716
-15282.0081442,-57765.5762278,-8.87606476609,1.52508689744
-48362.1383795,-64536.888117,-7.4924260197,1.55825162685
-71596.6815067,-66311.2424896,-6.38459585784,1.57707365815
-82441.0333925,-62064.8543094,-5.60934819683,1.57852249935
-80951.1420243,-51841.1726578,-5.16429979858,1.56271769161
-69906.7828566,-36718.0145041,-4.98962957484,1.53286724985
-53020.845468,-18428.5188984,-4.98952618685,1.49399773395
-33503.0348014,1368.02781492,-5.072434864,1.45086137915
-14195.2715611,20932.066295,-5.1426351903,1.40834914855
2521.25542813,38567.5128846,-5.10699541736,1.37116183848
16587.2414321,53131.6502327,-4.90354766129,1.34219724765
27650.7646249,64296.9298266,-4.51436066566,1.32234438194
35884.0027054,71884.452701,-3.9298244487,1.31202527746
41833.5382143,76239.7453029,-3.16894281137,1.31027156943
46031.1408102,77220.2627962,-2.22425746566,1.31735075201
50641.7932299,72414.9892679,-0.966176641604,1.33897768988
55097.3845996,65174.4134887,0.423981497176,1.36678527007
60422.8386587,54535.4444322,1.99790227235,1.40302841137
65388.3312979,42903.4996594,3.62582609224,1.44184338646
70229.9476528,32103.2325069,5.2087334339,1.47857844028
76146.7324948,20705.8408086,6.82346452332,1.51663491679
81703.2170157,11931.0149643,8.29622787766,1.54812739961
85930.3904116,9198.18753316,9.44217044633,1.56458444742
90863.6461918,7639.10439376,10.5241374588,1.57795255578
92616.7763493,4599.95841235,11.6879299955,1.59561487468
